iter	Passed	Remaining
0	30	15254
1	66	16492
2	95	15864
3	134	16723
4	167	16557
5	204	16810
6	238	16822
7	275	16934
8	292	15934
9	316	15514
10	342	15236
11	371	15087
12	400	14991
13	429	14903
14	463	14985
15	487	14747
16	513	14586
17	544	14593
18	568	14393
19	598	14365
20	628	14334
21	661	14374
22	694	14407
23	729	14476
24	783	14887
25	827	15089
26	868	15208
27	898	15152
28	934	15172
29	975	15281
30	1009	15265
31	1045	15290
32	1087	15395
33	1127	15458
34	1168	15518
35	1221	15746
36	1284	16067
37	1333	16210
38	1389	16428
39	1442	16586
40	1495	16738
41	1542	16821
42	1575	16745
43	1619	16785
44	1671	16902
45	1715	16935
46	1754	16913
47	1792	16877
48	1824	16791
49	1857	16713
50	1888	16625
51	1921	16554
52	1955	16495
53	1996	16487
54	2032	16441
55	2066	16385
56	2102	16341
57	2132	16250
58	2163	16171
59	2191	16067
60	2229	16043
61	2272	16055
62	2307	16005
63	2341	15948
64	2372	15874
65	2402	15796
66	2435	15738
67	2464	15659
68	2495	15588
69	2526	15519
70	2556	15448
71	2586	15377
72	2617	15308
73	2647	15239
74	2675	15163
75	2705	15095
76	2732	15011
77	2761	14938
78	2791	14873
79	2820	14805
80	2846	14722
81	2875	14656
82	2898	14563
83	2923	14478
84	2947	14389
85	2972	14307
86	2998	14232
87	3022	14148
88	3050	14087
89	3077	14020
90	3105	13958
91	3128	13875
92	3154	13807
93	3179	13732
94	3205	13666
95	3236	13621
96	3272	13597
97	3307	13566
98	3335	13509
99	3369	13478
100	3405	13452
101	3434	13399
102	3461	13340
103	3489	13286
104	3518	13236
105	3548	13188
106	3581	13155
107	3617	13129
108	3645	13077
109	3675	13031
110	3711	13008
111	3746	12978
112	3772	12919
113	3809	12900
114	3845	12872
115	3883	12856
116	3918	12826
117	3950	12787
118	3983	12754
119	4021	12735
120	4053	12695
121	4085	12656
122	4116	12617
123	4142	12561
124	4172	12517
125	4202	12474
126	4232	12430
127	4261	12384
128	4286	12328
129	4322	12302
130	4365	12297
131	4407	12286
132	4447	12272
133	4486	12255
134	4522	12228
135	4552	12184
136	4595	12175
137	4634	12156
138	4669	12126
139	4702	12093
140	4737	12063
141	4774	12036
142	4808	12003
143	4839	11965
144	4869	11921
145	4897	11873
146	4928	11834
147	4958	11793
148	4988	11750
149	5020	11714
150	5048	11669
151	5079	11629
152	5109	11588
153	5137	11541
154	5149	11462
155	5174	11411
156	5201	11364
157	5228	11316
158	5252	11265
159	5279	11219
160	5307	11174
161	5334	11129
162	5360	11082
163	5385	11033
164	5408	10981
165	5434	10935
166	5465	10898
167	5500	10870
168	5530	10832
169	5569	10810
170	5607	10787
171	5645	10765
172	5681	10738
173	5720	10716
174	5756	10689
175	5791	10661
176	5826	10631
177	5865	10610
178	5901	10582
179	5935	10552
180	5967	10518
181	6006	10494
182	6047	10475
183	6084	10449
184	6123	10426
185	6157	10394
186	6187	10357
187	6219	10321
188	6246	10279
189	6279	10245
190	6302	10196
191	6331	10157
192	6359	10115
193	6386	10072
194	6413	10031
195	6438	9985
196	6465	9944
197	6491	9901
198	6518	9859
199	6546	9819
200	6574	9780
201	6601	9738
202	6628	9698
203	6655	9657
204	6683	9617
