iter	Accuracy	MultiClass
0	0.7924626381	1.047410686
1	0.787394412	1.005184435
2	0.7860948668	0.9680919479
3	0.7884340481	0.9296900882
4	0.7911630929	0.8960469816
5	0.7907732294	0.8656630042
6	0.7942820013	0.8370313866
7	0.7976608187	0.8117628703
8	0.7992202729	0.7888487646
9	0.8005198181	0.7681712304
10	0.8009096816	0.7484535845
11	0.8011695906	0.7270029437
12	0.8016894087	0.7094409496
13	0.8025990903	0.6917226064
14	0.8057179987	0.6750065007
15	0.8081871345	0.6562173363
16	0.8096166342	0.6377457023
17	0.8109161793	0.621315779
18	0.8122157245	0.6055154057
19	0.81611436	0.5901257807
20	0.8202729045	0.57484286
21	0.8389863548	0.561262545
22	0.8479532164	0.5486089414
23	0.8543209877	0.5366938342
24	0.8558804418	0.5258232958
25	0.8567901235	0.5162045905
26	0.8639376218	0.5062045589
27	0.8667966212	0.4980322041
28	0.8682261209	0.4902537181
29	0.869005848	0.482145991
30	0.8691358025	0.4749230081
31	0.8693957115	0.4674851016
32	0.8691358025	0.4608333262
33	0.8691358025	0.4543661013
34	0.869265757	0.4478937938
35	0.8691358025	0.4419252406
36	0.8691358025	0.4369861297
37	0.8691358025	0.432264361
38	0.869265757	0.4266507004
39	0.8691358025	0.4222145667
40	0.8691358025	0.4180947701
41	0.8691358025	0.4126649714
42	0.869265757	0.4073990491
43	0.8693957115	0.4028134949
44	0.8693957115	0.399238002
45	0.8693957115	0.3958658834
46	0.8693957115	0.3929595231
47	0.8693957115	0.3906326434
48	0.8693957115	0.3886170764
49	0.8693957115	0.3859839526
50	0.8696556205	0.3832208214
51	0.869785575	0.3806429587
52	0.8699155296	0.377858837
53	0.8699155296	0.374590099
54	0.8701754386	0.3722037973
55	0.8699155296	0.3703982965
56	0.8701754386	0.3679013684
57	0.8710851202	0.3654233114
58	0.8714749838	0.3640088731
59	0.8723846654	0.3624247567
60	0.8722547109	0.3603290469
61	0.8730344379	0.3585178378
62	0.873554256	0.3564419528
63	0.873814165	0.3546403202
64	0.8743339831	0.3530604457
65	0.8747238467	0.3511566551
66	0.8749837557	0.3498800637
67	0.8749837557	0.348545605
68	0.8752436647	0.3466954357
69	0.8766731644	0.3449268772
70	0.8781026641	0.3436973943
71	0.8781026641	0.3424892036
72	0.8788823912	0.3412485982
73	0.8787524366	0.3400484875
74	0.8788823912	0.3390900455
75	0.8790123457	0.3379447683
76	0.8790123457	0.3369962967
77	0.8792722547	0.3362922925
78	0.8792722547	0.3353393273
79	0.8795321637	0.3347470075
80	0.8795321637	0.3338075548
81	0.8795321637	0.3325989796
82	0.8794022092	0.3317971847
83	0.8795321637	0.3307819925
84	0.8799220273	0.3301060333
85	0.8805717999	0.3291273717
86	0.8808317089	0.3282811434
87	0.8808317089	0.3274984724
88	0.8809616634	0.3267349447
89	0.8808317089	0.3263483617
90	0.8808317089	0.3259869404
91	0.8809616634	0.3252847749
92	0.8810916179	0.324712802
93	0.8812215724	0.3241154268
94	0.8810916179	0.3237205257
95	0.8814814815	0.3231818376
96	0.881351527	0.3227182095
97	0.8814814815	0.3222313839
98	0.881611436	0.3216419769
99	0.8817413905	0.3212054611
100	0.881611436	0.3203330178
101	0.8817413905	0.3198546175
102	0.8817413905	0.3197286941
103	0.8817413905	0.3190614385
104	0.8817413905	0.3184949543
105	0.8821312541	0.3176693217
106	0.8821312541	0.3171785857
107	0.8821312541	0.3170158704
108	0.8822612086	0.316438663
109	0.8822612086	0.3158418969
110	0.8822612086	0.3152002792
111	0.8822612086	0.3148621898
112	0.8825211176	0.3144924753
113	0.8823911631	0.3138553488
114	0.8823911631	0.3135588184
115	0.8825211176	0.3132657595
116	0.8825211176	0.3129260618
117	0.8825211176	0.312740081
118	0.8825211176	0.3125840332
119	0.8825211176	0.3122413137
120	0.8823911631	0.3117318509
121	0.8822612086	0.311484636
122	0.8825211176	0.311090813
123	0.8825211176	0.3109937683
124	0.8825211176	0.3108924145
125	0.8825211176	0.3105482592
126	0.8823911631	0.3102263566
127	0.8823911631	0.3100259734
128	0.8825211176	0.3097963827
129	0.8826510721	0.3095299285
130	0.8825211176	0.3090603991
131	0.8829109812	0.3085801607
132	0.8829109812	0.3082157881
133	0.8829109812	0.3080912237
134	0.8830409357	0.3078574229
135	0.8831708902	0.3075813769
136	0.8834307992	0.3072876168
137	0.8834307992	0.3070550884
138	0.8836907083	0.3067684168
139	0.8839506173	0.3064180653
140	0.8839506173	0.3061898876
141	0.8839506173	0.3059492406
142	0.8838206628	0.3055489912
143	0.8842105263	0.3051490144
144	0.8842105263	0.3051133316
145	0.8838206628	0.3048105166
146	0.8838206628	0.3044991765
147	0.8838206628	0.3043048523
148	0.8840805718	0.3041874169
149	0.8842105263	0.3041027536
150	0.8842105263	0.3041012355
151	0.8842105263	0.3038215454
152	0.8842105263	0.3036598801
153	0.8842105263	0.3033978563
154	0.8842105263	0.3030679052
155	0.8843404808	0.3027734967
156	0.8846003899	0.3025403379
157	0.8846003899	0.302523754
158	0.8846003899	0.3021391132
159	0.8848602989	0.3019461315
160	0.8847303444	0.301698219
161	0.8847303444	0.3015399542
162	0.8846003899	0.3012131699
163	0.8847303444	0.3008714003
164	0.8847303444	0.3006254673
165	0.8849902534	0.3004003733
166	0.8851202079	0.3001910086
167	0.8852501624	0.2998610279
168	0.8852501624	0.2995499052
169	0.8852501624	0.2994082436
170	0.8852501624	0.2991940178
171	0.885380117	0.2989142125
172	0.8855100715	0.2988182813
173	0.885640026	0.2983311866
174	0.8857699805	0.2980654257
175	0.885899935	0.2977605283
176	0.885640026	0.2974507032
177	0.885640026	0.2971963275
178	0.8857699805	0.2969697994
179	0.8857699805	0.2968892724
180	0.885899935	0.2966557515
181	0.885899935	0.2963758632
182	0.885899935	0.2963598349
183	0.885899935	0.2962565437
184	0.885899935	0.2959640518
185	0.8860298895	0.2958919824
186	0.8861598441	0.2956616185
187	0.8862897986	0.2953750539
188	0.8865497076	0.2951257223
189	0.8865497076	0.2948452545
190	0.8865497076	0.2948087598
191	0.8861598441	0.2946995921
192	0.885899935	0.294346707
193	0.885899935	0.2941015737
194	0.885899935	0.2940308639
195	0.8861598441	0.2939075498
196	0.8861598441	0.2937478072
197	0.8864197531	0.2936248555
198	0.8862897986	0.2935233324
199	0.8864197531	0.2933158538
200	0.8865497076	0.2931460382
201	0.8866796621	0.2929883105
202	0.8866796621	0.2929300713
203	0.8864197531	0.2928441209
204	0.8865497076	0.292716242
205	0.8868096166	0.2925617154
206	0.8869395712	0.2923608673
207	0.8871994802	0.2922134588
208	0.8871994802	0.2920570237
209	0.8870695257	0.2918187953
210	0.8870695257	0.2916449493
211	0.8870695257	0.2915244697
212	0.8870695257	0.2914004443
213	0.8870695257	0.2912319904
214	0.8869395712	0.2909221725
215	0.8869395712	0.2907875549
216	0.8870695257	0.2906954136
217	0.8870695257	0.2906078678
218	0.8870695257	0.2904166734
219	0.8870695257	0.2901993925
220	0.8870695257	0.2900454069
221	0.8870695257	0.2899987949
222	0.8878492528	0.2899297917
223	0.8878492528	0.2898325276
224	0.8878492528	0.2897525075
225	0.8881091618	0.2897121541
226	0.8882391163	0.289704582
227	0.8882391163	0.2894602882
228	0.8882391163	0.2894367317
229	0.8883690708	0.2892856753
230	0.8883690708	0.2890862628
231	0.8883690708	0.2888820253
232	0.8883690708	0.2887270876
233	0.8883690708	0.2885529064
234	0.8883690708	0.2884200258
235	0.8882391163	0.2882071016
236	0.8884990253	0.287979848
237	0.8883690708	0.2879113174
238	0.8883690708	0.2877402135
239	0.8883690708	0.2876102538
240	0.8884990253	0.2873693081
241	0.8884990253	0.2872045369
242	0.8886289799	0.2870948036
243	0.8887589344	0.2870047359
244	0.8886289799	0.2868022935
245	0.8886289799	0.286738562
246	0.8887589344	0.286509273
247	0.8887589344	0.2863647513
248	0.8886289799	0.2862743901
249	0.8891487979	0.2860504687
250	0.8890188434	0.2859890486
251	0.8890188434	0.2857843977
252	0.8891487979	0.285716136
253	0.8891487979	0.2853778609
254	0.8888888889	0.2852290807
255	0.8890188434	0.2851284895
256	0.8888888889	0.2848934789
257	0.8888888889	0.2847789596
258	0.8888888889	0.2846443191
259	0.8888888889	0.2843367678
260	0.8888888889	0.2841502022
261	0.8888888889	0.284045778
262	0.8888888889	0.2839031633
