iter	Passed	Remaining
0	79	39777
1	93	23397
2	100	16584
3	120	14939
4	144	14312
5	162	13348
6	185	13093
7	210	12928
8	229	12522
9	241	11827
10	251	11193
11	280	11402
12	310	11613
13	335	11630
14	365	11817
15	392	11883
16	420	11954
17	447	11986
18	476	12052
19	513	12312
20	544	12424
21	578	12573
22	612	12697
23	648	12870
24	688	13077
25	724	13207
26	762	13364
27	801	13518
28	842	13675
29	881	13817
30	918	13894
31	950	13907
32	993	14061
33	1041	14272
34	1089	14472
35	1139	14685
36	1185	14835
37	1221	14850
38	1253	14817
39	1294	14885
40	1341	15018
41	1386	15122
42	1426	15164
43	1462	15156
44	1500	15168
45	1537	15175
46	1572	15155
47	1605	15119
48	1640	15103
49	1674	15073
50	1708	15039
51	1749	15073
52	1784	15051
53	1818	15018
54	1848	14953
55	1889	14977
56	1931	15010
57	1967	14993
58	2000	14954
59	2036	14936
60	2070	14900
61	2104	14869
62	2139	14839
63	2172	14799
64	2206	14764
65	2235	14700
66	2268	14662
67	2305	14646
68	2344	14645
69	2377	14602
70	2408	14552
71	2443	14523
72	2474	14471
73	2505	14421
74	2539	14387
75	2570	14338
76	2601	14290
77	2631	14238
78	2662	14188
79	2693	14143
80	2747	14211
81	2784	14196
82	2814	14140
83	2846	14098
84	2876	14044
85	2906	13989
86	2938	13947
87	2963	13873
88	2992	13820
89	3024	13776
90	3054	13726
91	3084	13680
92	3117	13642
93	3143	13575
94	3172	13523
95	3198	13458
96	3228	13414
97	3259	13368
98	3284	13305
99	3314	13258
100	3343	13210
101	3376	13173
102	3408	13137
103	3437	13087
104	3467	13043
105	3496	12995
106	3525	12949
107	3557	12911
108	3588	12871
109	3619	12833
110	3644	12772
111	3671	12720
112	3696	12660
113	3721	12599
114	3752	12561
115	3785	12531
116	3816	12493
117	3845	12449
118	3874	12405
119	3906	12370
120	3933	12320
121	3964	12283
122	4000	12262
123	4040	12251
124	4079	12239
125	4123	12238
126	4158	12212
127	4195	12194
128	4227	12158
129	4264	12137
130	4301	12117
131	4336	12090
132	4382	12092
133	4419	12072
134	4460	12059
135	4497	12038
136	4538	12024
137	4569	11985
138	4604	11957
139	4642	11937
140	4681	11919
141	4716	11891
142	4754	11868
143	4786	11834
144	4825	11813
145	4862	11789
146	4898	11763
147	4931	11728
148	4967	11701
149	4991	11646
150	5023	11610
151	5055	11573
152	5084	11531
153	5110	11482
154	5142	11445
155	5175	11412
156	5216	11396
157	5256	11377
158	5292	11351
159	5329	11324
160	5366	11299
161	5401	11269
162	5434	11234
163	5463	11193
164	5474	11114
165	5501	11069
166	5526	11020
167	5554	10976
168	5578	10926
169	5604	10878
170	5629	10830
171	5654	10783
172	5680	10736
173	5707	10692
174	5733	10647
175	5761	10607
176	5792	10569
177	5818	10526
178	5845	10483
179	5870	10435
180	5895	10391
181	5930	10361
182	5966	10334
183	6000	10305
184	6040	10284
185	6082	10268
186	6116	10237
187	6152	10210
188	6190	10187
189	6226	10159
190	6257	10123
191	6290	10091
192	6322	10057
193	6356	10025
194	6389	9993
195	6424	9964
196	6466	9946
197	6504	9920
198	6546	9901
199	6592	9888
200	6633	9867
201	6670	9841
202	6703	9807
203	6737	9776
204	6767	9738
205	6797	9700
206	6826	9662
207	6858	9627
208	6888	9590
209	6923	9560
210	6964	9539
211	6999	9509
212	7035	9479
213	7070	9449
214	7103	9416
215	7137	9384
216	7175	9358
217	7209	9326
218	7241	9292
219	7279	9264
220	7314	9233
221	7350	9205
222	7377	9163
223	7405	9124
224	7441	9095
225	7478	9066
226	7515	9039
227	7553	9011
228	7585	8976
229	7619	8944
230	7650	8908
231	7694	8887
232	7734	8862
233	7767	8829
234	7801	8797
235	7836	8766
236	7864	8726
237	7898	8695
238	7928	8658
239	7962	8625
240	7994	8591
241	8026	8557
242	8057	8521
243	8084	8481
244	8113	8444
245	8139	8404
246	8166	8365
247	8194	8326
248	8220	8286
249	8246	8246
250	8275	8209
251	8303	8171
252	8329	8132
253	8357	8094
254	8384	8055
255	8415	8020
256	8444	7984
257	8472	7946
258	8502	7911
259	8531	7875
260	8561	7840
261	8590	7803
262	8619	7767
263	8650	7732
264	8678	7696
265	8704	7657
266	8727	7616
267	8754	7578
268	8779	7539
269	8806	7501
270	8832	7463
271	8855	7423
272	8880	7384
273	8906	7346
274	8933	7309
275	8957	7269
276	8983	7232
277	9009	7194
278	9035	7157
279	9061	7119
280	9087	7082
281	9111	7043
282	9137	7006
283	9162	6969
284	9188	6931
285	9215	6895
286	9240	6857
287	9269	6823
288	9292	6784
289	9317	6747
290	9344	6711
291	9369	6674
292	9392	6635
293	9418	6599
294	9443	6562
295	9472	6528
296	9498	6492
297	9525	6457
298	9551	6420
299	9577	6385
300	9604	6349
301	9629	6313
302	9654	6276
303	9682	6242
304	9707	6206
305	9728	6167
306	9758	6134
307	9790	6103
308	9822	6071
309	9856	6040
310	9885	6007
311	9915	5974
312	9942	5940
313	9966	5903
314	9993	5869
315	10019	5834
316	10045	5799
317	10071	5764
318	10098	5729
319	10124	5695
320	10151	5660
321	10177	5625
322	10203	5591
323	10229	5556
324	10258	5523
325	10287	5490
326	10315	5457
327	10340	5422
328	10367	5388
329	10400	5358
330	10434	5327
331	10471	5298
332	10506	5269
333	10538	5237
334	10573	5207
335	10606	5177
336	10637	5145
337	10668	5113
338	10703	5083
339	10738	5053
340	10774	5024
341	10805	4991
342	10835	4959
343	10862	4926
344	10889	4892
345	10926	4863
346	10954	4830
347	10988	4799
348	11024	4769
349	11050	4735
350	11080	4703
351	11106	4669
352	11136	4637
353	11163	4604
354	11188	4570
355	11211	4534
356	11238	4501
357	11264	4468
358	11289	4433
359	11317	4401
360	11346	4368
361	11373	4335
362	11400	4302
363	11429	4270
364	11451	4235
365	11475	4201
366	11497	4166
367	11521	4132
368	11546	4099
369	11574	4066
370	11601	4034
371	11624	3999
372	11651	3967
373	11678	3934
374	11701	3900
375	11728	3867
376	11756	3835
377	11784	3803
378	11812	3771
379	11839	3738
380	11870	3707
381	11899	3675
382	11929	3644
383	11966	3614
384	11997	3583
385	12035	3554
386	12064	3522
387	12096	3491
388	12128	3460
389	12166	3431
390	12197	3400
391	12232	3370
392	12269	3340
393	12304	3310
394	12340	3280
395	12376	3250
396	12410	3219
397	12449	3190
398	12482	3159
399	12519	3129
400	12555	3099
401	12590	3069
402	12620	3037
403	12651	3006
404	12682	2974
405	12717	2944
406	12750	2913
407	12785	2883
408	12823	2853
409	12859	2822
410	12890	2791
411	12920	2759
412	12952	2728
413	12985	2697
414	13018	2666
415	13050	2635
416	13082	2603
417	13109	2571
418	13138	2539
419	13166	2507
420	13194	2475
421	13227	2444
422	13259	2413
423	13293	2382
424	13327	2351
425	13362	2321
426	13391	2289
427	13423	2258
428	13457	2227
429	13487	2195
430	13514	2163
431	13540	2131
432	13564	2098
433	13591	2066
434	13621	2035
435	13647	2003
436	13671	1971
437	13701	1939
438	13737	1908
439	13776	1878
440	13809	1847
441	13846	1816
442	13877	1785
443	13906	1753
444	13940	1723
445	13967	1691
446	13991	1658
447	14023	1627
448	14057	1596
449	14091	1565
450	14126	1534
451	14159	1503
452	14193	1472
453	14229	1441
454	14264	1410
455	14296	1379
456	14326	1347
457	14357	1316
458	14387	1285
459	14416	1253
460	14441	1221
461	14468	1190
462	14496	1158
463	14523	1126
464	14551	1095
465	14576	1063
466	14603	1031
467	14632	1000
468	14674	969
469	14718	939
470	14749	908
471	14784	877
472	14812	845
473	14845	814
474	14882	783
475	14913	751
476	14955	721
477	14989	689
478	15025	658
479	15063	627
480	15099	596
481	15135	565
482	15172	534
483	15201	502
484	15238	471
485	15278	440
486	15317	408
487	15349	377
488	15385	346
489	15421	314
490	15456	283
491	15485	251
492	15513	220
493	15547	188
494	15577	157
495	15612	125
496	15649	94
497	15681	62
498	15715	31
499	15750	0
