country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,record_keeping_ord,financial_formality_index,insurance_coverage_score,attitude_optimism_score,financial_access_score,has_insurance_bin,medical_insurance_bin,funeral_insurance_bin,motor_vehicle_insurance_bin,has_credit_card_bin,insurance_count,insurance_age,insurance_ratio,profit_margin,has_loan_account_bin,debt_ratio,age_country,owner_age_country_A,owner_age_country_B,owner_age_country_C,insurance_country,has_insurance_country_D,total_economic_capacity,cash_flow_ratio,credit_intensity,digital_finance_score,financial_strength_index,financial_access_country,high_compliance_record,insurance_country_weighted
A,49,Yes,No,No,Yes,Yes,1500.0,1000.0,1800.0,4.0,Never had,Never had,Yes,Yes,Male,"Yes, sometimes",No,Never had,No,Yes,No,No,No,Yes,Yes,Yes,Never had,Never had,Never had,Unknown,11.0,Never had,Never had,Unknown,Never had,Never had,1.0,0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444441975308,0.0,0.0,49,49,0,0,0.0,0.0,3300.0,1.7982017982017982,1,0,1,0.0,0,0.0
C,55,No,No,No,No,Yes,200000.0,20000.0,45000.0,12.0,Unknown,Never had,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,Don?t know / doesn?t apply,No,No,Unknown,Yes,No,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,2.0,0,0,1.5,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.5555555555432099,0.0,0.0,165,0,0,55,0.0,0.0,245000.0,2.2498875056247187,1,0,1,0.0,0,0.0
D,47,Yes,No,No,No,Yes,80.0,420.0,960.0,4.0,Never had,Unknown,Unknown,Yes,Female,"Yes, sometimes",Yes,Never had,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,0.0,Never had,Never had,Yes,Unknown,Unknown,1.0,0,0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5624999994140625,,0.0,188,0,0,0,0.0,0.0,1040.0,2.2802850356294537,1,0,1,0.0,0,0.0
C,47,Don’t know or N/A,Yes,No,No,No,420000.0,2000000.0,400000.0,18.0,Have now,Have now,No,Yes,Male,"Yes, sometimes",Yes,Never had,Yes,No,Yes,No,Unknown,Yes,Yes,No,Have now,Never had,Have now,Yes,,Never had,Never had,Yes,Unknown,Unknown,2.0,3,1,1.5,6.0,0.0,0.0,0.0,1.0,0.0,1.0,47.0,0.2,-1.0,1.0,0.000249999999999375,141,0,0,47,0.0,0.0,820000.0,0.19999990000005,2,1,1,2.4000000000000004,0,0.8
D,67,Yes,No,No,Yes,Yes,84.0,1440.0,2880.0,10.0,Never had,Unknown,Unknown,Yes,Female,"Yes, sometimes",Yes,Never had,"Yes, sometimes",Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,5.0,Never had,Never had,Yes,Unknown,Unknown,0.0,0,0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999982638893,,0.0,268,0,0,0,0.0,0.0,2964.0,1.9986120749479528,1,0,1,0.0,0,0.0
C,29,Don’t know or N/A,Don’t know or N/A,No,Don't know,Don't know,20000.0,50000.0,50000.0,1.0,Unknown,Have now,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Don?t know / doesn?t apply,No,Unknown,Don't know,No,No,Never had,Never had,Never had,No,,Unknown,Unknown,Yes,Unknown,Unknown,1.0,1,0,0.5,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,0,0,29,0.0,0.0,70000.0,0.999980000399992,1,0,0,0.8,0,0.0
B,28,Yes,No,No,Don't know,Yes,1600.0,200.0,600.0,2.0,Never had,Have now,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Don't know,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,Used to have but don’t have now,Used to have but don’t have now,0.0,1,0,1.25,2.0,,,,0.0,,0.0,0.0,0.0,0.6666666655555555,,0.0,56,0,28,0,,,2200.0,2.985074626865672,0,0,1,0.9,0,0.0
D,35,Yes,Yes,Yes,No,No,152222.0,66660.0,182664.0,10.0,Have now,Unknown,Unknown,Yes,Female,"Yes, sometimes",Yes,Have now,"Yes, always",No,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,6.0,Have now,Have now,Yes,Unknown,Unknown,3.0,1,3,1.5,2.0,1.0,1.0,1.0,1.0,1.0,5.0,175.0,1.0,0.6350676652179134,,0.0,140,0,0,0,4.0,1.0,334886.0,2.740192916397894,2,1,2,0.7,1,3.5
B,48,Yes,No,No,Don't know,Yes,220.0,1000.0,1220.0,9.0,Never had,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,Used to have but don’t have now,Used to have but don’t have now,0.0,0,0,1.25,0.0,,,,0.0,,0.0,0.0,0.0,0.18032786870464926,,0.0,96,0,48,0,,,1440.0,1.2187812187812188,0,0,1,0.0,0,0.0
D,40,Yes,No,No,Yes,Yes,130.0,2400.0,3600.0,2.0,Never had,Unknown,Unknown,Yes,Female,No,No,Never had,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,5.0,Have now,Have now,Yes,Unknown,Unknown,1.0,0,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,80.0,0.4,0.33333333324074077,,0.0,160,0,0,0,0.0,0.0,3730.0,1.499375260308205,0,0,1,0.0,0,1.4
