ID,country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,Target
ID_3CFL0U,A,63,Yes,No,No,No,Yes,3000,6000,7000,14,Never had,Have now,Yes,Yes,Male,"Yes, sometimes",No,Never had,"Yes, always",Yes,Yes,No,Yes,Yes,Yes,Yes,Never had,Never had,Never had,NA,6,Never had,Used to have but don’t have now,NA,Never had,Never had,Low
ID_XWI7G3,D,39,No,Yes,Yes,No,Yes,NA,NA,NA,15,Have now,Have now,NA,Yes,Male,"Yes, sometimes",Yes,Never had,"Yes, always",No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,No,3,Never had,Never had,NA,NA,NA,Medium
ID_TY93LV,C,34,Don’t know or N/A,No,No,Don't know,Yes,30000,6000,13000,5,NA,Never had,Yes,Yes,Male,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,Yes,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_9OP2C8,C,28,Yes,No,No,No,No,180000,60000,30000,1,NA,Have now,No,Yes,Female,"Yes, sometimes",No,Never had,No,No,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,No,NA,NA,NA,Yes,Never had,Have now,Low
ID_13REYS,D,43,Yes,No,No,Yes,Yes,50,2400,1800,3,Never had,NA,NA,No,Female,"Yes, sometimes",Yes,Never had,No,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Never had,Yes,NA,NA,Low
ID_57I1NI,B,39,Yes,No,No,Don't know,Yes,250,10,60,0,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Low
ID_L3TKQV,B,25,Yes,Yes,No,No,No,10000,1350,3000,7,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Used to have but don't have now,Used to have but don't have now,Medium
ID_KB700U,A,44,Yes,Yes,No,Yes,Yes,14000,8500,15000,1,Never had,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,No,Don't know,Yes,Yes,Yes,Never had,Never had,Never had,NA,0,Never had,Never had,NA,Never had,Never had,Low
ID_DUQI8U,D,34,Yes,No,No,Yes,Yes,150,1680,3360,5,Never had,NA,NA,Yes,Female,No,Yes,Never had,"Yes, sometimes",Don't know,Do not know / N‎/A,No,No,NA,NA,NA,NA,NA,NA,No,0,Never had,Have now,Yes,NA,NA,Medium
ID_27YH6U,A,65,Yes,No,Yes,No,No,5000,9000,22000,20,Have now,Have now,Yes,Yes,Male,No,No,Never had,"Yes, always",No,Yes,Yes,No,Yes,NA,Yes,Never had,Never had,Have now,NA,5,Never had,Have now,NA,Never had,Never had,Medium
ID_CBJS4T,C,42,Yes,No,No,Don't know,Yes,1166000,7000000,14000000,10,NA,Have now,No,No,Female,"Yes, sometimes",Yes,Never had,No,Don?t know / doesn?t apply,Yes,No,NA,Yes,No,No,Never had,Never had,Never had,Yes,NA,NA,NA,Yes,NA,NA,Low
ID_KJ6SZX,B,56,Yes,No,No,Don't know,No,5000,1000,5000,10,Never had,Have now,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,Used to have but don't have now,Used to have but don't have now,Have now,NA,NA,NA,NA,No,Used to have but don't have now,Used to have but don't have now,Low
