iter	Passed	Remaining
0	14	70026
1	21	52797
2	28	47365
3	38	48419
4	43	43917
5	59	49247
6	73	52353
7	86	53872
8	96	53404
9	108	54273
10	122	55497
11	134	55999
12	148	57061
13	165	58805
14	181	60222
15	198	61739
16	215	63171
17	235	65054
18	254	66830
19	270	67381
20	286	67931
21	302	68482
22	319	69048
23	333	69195
24	348	69263
25	360	69014
26	374	68920
27	388	68983
28	402	68989
29	418	69259
30	432	69334
31	447	69423
32	462	69562
33	476	69609
34	491	69675
35	505	69695
36	520	69818
37	536	70033
38	550	70035
39	565	70109
40	580	70154
41	596	70467
42	614	70809
43	629	70905
44	643	70829
45	657	70816
46	672	70827
47	686	70826
48	701	70833
49	716	70918
50	730	70929
51	744	70881
52	760	70938
53	774	70942
54	791	71158
55	808	71389
56	826	71667
57	844	71922
58	860	72058
59	876	72186
60	893	72336
61	908	72389
62	924	72411
63	937	72308
64	953	72423
65	968	72418
66	983	72436
67	998	72432
68	1013	72441
69	1027	72369
70	1042	72350
71	1055	72247
72	1071	72325
73	1086	72299
74	1100	72250
75	1112	72070
76	1127	72081
77	1140	71953
78	1155	71952
79	1169	71929
80	1183	71895
81	1199	71949
82	1214	71956
83	1229	71955
84	1244	71959
85	1258	71918
86	1273	71906
87	1287	71868
88	1300	71775
89	1315	71758
90	1330	71794
91	1346	71838
92	1360	71778
93	1376	71823
94	1386	71576
95	1400	71550
96	1413	71462
97	1425	71322
98	1439	71282
99	1454	71259
100	1468	71246
101	1484	71263
102	1496	71141
103	1511	71178
104	1526	71162
105	1541	71160
106	1556	71155
107	1570	71157
108	1585	71142
109	1602	71217
110	1617	71225
111	1631	71219
112	1646	71220
113	1662	71254
114	1675	71160
115	1690	71178
116	1705	71186
117	1722	71245
118	1737	71284
119	1742	70858
120	1757	70856
121	1771	70824
122	1784	70775
123	1800	70787
124	1810	70617
125	1826	70636
126	1841	70675
127	1858	70726
128	1872	70713
129	1887	70716
130	1904	70803
131	1914	70618
132	1928	70553
133	1942	70522
134	1958	70574
135	1974	70609
136	1988	70571
137	2003	70590
138	2018	70579
139	2033	70579
140	2048	70581
141	2063	70588
142	2079	70614
143	2094	70625
144	2110	70658
145	2126	70695
146	2139	70624
147	2153	70595
148	2168	70595
149	2186	70682
150	2200	70676
151	2215	70675
152	2230	70673
153	2246	70679
154	2260	70660
155	2275	70644
156	2287	70566
157	2303	70592
158	2318	70585
159	2333	70576
160	2347	70563
161	2362	70564
162	2377	70555
163	2391	70531
164	2408	70573
165	2423	70566
166	2436	70508
167	2452	70536
168	2466	70519
169	2481	70508
170	2493	70424
171	2505	70342
172	2519	70307
173	2535	70317
174	2549	70307
175	2564	70296
176	2579	70291
177	2593	70268
178	2609	70278
179	2625	70306
180	2641	70327
181	2656	70326
182	2671	70321
183	2686	70326
184	2702	70339
185	2717	70341
186	2731	70291
187	2745	70285
188	2760	70277
189	2775	70269
190	2790	70271
191	2805	70247
192	2820	70247
193	2834	70225
194	2849	70213
195	2864	70204
196	2878	70191
197	2895	70211
198	2910	70215
199	2925	70214
200	2938	70169
201	2953	70156
202	2967	70132
203	2981	70102
204	2996	70095
205	3011	70090
206	3026	70077
207	3041	70080
208	3056	70069
209	3071	70052
210	3085	70036
