number,value,datetime_start,datetime_complete,duration,colsample_bytree,learning_rate,max_depth,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample
3,0.31049635137090925,2025-12-27 23:30:40.566585,2025-12-27 23:30:55.711154,0 days 00:00:15.144569,0.6435714555116572,0.1394147895986289,5,15,231,0.47801949694686735,0.4463636397411271,0.6933083139250353
23,0.3119169938266581,2025-12-27 23:36:02.049764,2025-12-27 23:36:23.221973,0 days 00:00:21.172209,0.8660666303765505,0.13172930157207097,7,32,63,0.09474239388593456,0.34166017664911136,0.6414785178266659
26,0.3119562379259743,2025-12-27 23:36:24.038113,2025-12-27 23:36:49.458127,0 days 00:00:25.420014,0.9257809115449983,0.13508022655807733,7,34,57,0.44778106323839706,0.2702836304686409,0.8389593705325326
22,0.3121357953677505,2025-12-27 23:35:35.086927,2025-12-27 23:36:02.048663,0 days 00:00:26.961736,0.8654642294643213,0.13378214789033774,7,34,147,0.18858970484896553,0.33960976326291137,0.6998354521863379
21,0.3121635239886717,2025-12-27 23:35:07.584487,2025-12-27 23:35:35.085594,0 days 00:00:27.501107,0.8321612925431375,0.13567976107968846,7,32,104,0.16689800374192307,0.36502129425723207,0.6430460778327965
17,0.3124554974603989,2025-12-27 23:34:47.785153,2025-12-27 23:35:07.264417,0 days 00:00:19.479264,0.8007180511902058,0.14842072009091156,6,43,134,0.2012882570473834,0.2941651296462737,0.728096174595713
7,0.31572570209311046,2025-12-27 23:31:35.417771,2025-12-27 23:32:06.949935,0 days 00:00:31.532164,0.8253337551509767,0.1410055355800164,11,22,103,0.1356656945313532,0.3878973475567952,0.6511079302879798
12,0.3162061184731694,2025-12-27 23:32:44.999682,2025-12-27 23:33:30.880162,0 days 00:00:45.880480,0.8435743302922599,0.12555956332998686,12,36,192,0.18940660536555293,0.3694130639446802,0.6175432496652119
6,0.3162808883826174,2025-12-27 23:31:09.530292,2025-12-27 23:31:35.416287,0 days 00:00:25.885995,0.7408071778045595,0.11308830112762812,9,71,125,0.4790622446423849,0.12356523894606525,0.9081712943464613
2,0.3164594518621535,2025-12-27 23:30:10.689597,2025-12-27 23:30:40.565471,0 days 00:00:29.875874,0.858543954752844,0.04784610773515308,10,68,33,0.04699435974427685,0.09060393634996805,0.9937189259566367
11,0.3165376869432829,2025-12-27 23:32:07.216812,2025-12-27 23:32:44.998515,0 days 00:00:37.781703,0.8892739746530248,0.1455380805489818,12,30,90,0.23783141649763812,0.4017333798538518,0.7260446118061679
13,0.3166783642418579,2025-12-27 23:33:30.882019,2025-12-27 23:34:14.365584,0 days 00:00:43.483565,0.9495728541593137,0.13154491817385064,8,5,90,0.3017604209109724,0.49047106576260147,0.6016457525234986
15,0.3170528173236081,2025-12-27 23:34:14.461422,2025-12-27 23:34:47.650704,0 days 00:00:33.189282,0.9087767986773195,0.12796448188440981,11,54,209,0.4906604081591207,0.2382153897623266,0.7669532165249664
4,0.31724687651221606,2025-12-27 23:30:55.712484,2025-12-27 23:31:09.405821,0 days 00:00:13.693337,0.696363545980211,0.07834228877801284,4,86,125,0.3995252086438422,0.30104532426581293,0.8940520582632587
0,0.3180097104906751,2025-12-27 23:29:33.322287,2025-12-27 23:29:56.843843,0 days 00:00:23.521556,0.7470669352588196,0.10582345111345118,10,98,164,0.4076382399226109,0.4314819441006071,0.6310601432269323
1,0.3198386921647434,2025-12-27 23:29:56.846659,2025-12-27 23:30:10.687245,0 days 00:00:13.840586,0.7879990535308373,0.14768617658210276,7,81,254,0.09159881523947294,0.029516806093769166,0.6800405272832706
